time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer
3521.240789	3532.207675	I'm going to read a couple of poems in Beast Language which are actually from the early '60s and not the '50s, and then we're going to take a break-ten minutes or so.	Notes
3537.778157	3546.699631	[McClure reads the first three and a half lines of Geoffrey Chaucer's Canterbury Tales] Whan that Aprill with his shoures soote The droghte of March hath perced to the roote, And bathed every veyne in switch licour Of which vertu	Notes
3546.699631	3554.228486	That's Chaucer actually. It makes a nice introduction.	Notes
3559.146177	3562.584208	[McClure reads Ghost Tantra 51]: I LOVE TO THINK OF THE RED PURPLE ROSE	Notes
3563.019402	3565.630565	IN THE DARKNESS COOLED BY THE LIGHT	Notes
3566.675031	3570.939931	We are served by machines making satins of sounds.	Notes
3571.636241	3575.944661	Each blot of sound is a bud or a stahr.	Notes
3576.553932	3579.817886	Body eats bouquets of the ear's vista.	Notes
3580.079003	3587.303221	Gahhhrrr booody eyes eers noze deem thou.	Notes
3588.08657	3590.26254	NOH. NAH-OHH	Notes
3590.26254	3595.833021	hrooor. VOOOR-NAH! GAHROOOOO ME.	Notes
3596.007099	3599.358092	Nah droooooh seerch. NAH THEE!	Notes
3599.619208	3605.581364	The machines are too dull when we are lion poems that move & breathe.	Notes
3605.755442	3611.238885	WHAN WE GROOOOOOOOOOOOOOR hann dree	Notes
3611.456482	3616.504731	myketoth sharoo sreee thah noh deeeeeemed ez.	Notes
3616.504731	3618.637181	Whan. eeeethoooze hrohh.	Notes
3621.770577	3629.473509	[Applause]	Notes
3629.473509	3635.653262	I was always afraid to recite this other one. Although I knew it by heart, I was afraid to recite it because I thought I might not be able to stop.	Notes
3637.611635	3646.010877	It's very mantric. And I thought I'd be giving a reading and they'll carry me away at the end. I'll still be going Grahhr! Grahhr! So,	Notes
3647.098861	3660.938027	recently I was in one of John Lilly's isolation tanks and I thought, what a perfect time to do this thing I've always been afraid to do. [Audience laughs] What difference would it make here? So I did, and I did know it by heart, but I think I'll read it here anyway.	Notes
3662.069531	3667.81409	SILENCE THE EYES! BECALM THE SENSES!	Notes
3668.118726	3673.428092	Drive drooor from the fresh repugnance,	Notes
3673.863285	3676.953162	thou whole, thou feeling creature.	Notes
3677.257798	3680.608791	Live not for others but affect thyself	Notes
3681.000465	3685.308885	from thy enhanced interior--believing what thou carry.	Notes
3685.831117	3691.619196	Thy trillionic multitude of grahh, vhooshes, and silences.	Notes
3691.619196	3695.274825	Oh you are heavier and dimmer than you knew	Notes
3695.274825	3697.842469	and more solid and full of pleasure.	Notes
3697.929508	3706.067633	Grahhr! Grahhhr! Ghrahhhrrr! Ghrahhr! Grahhrrr.	Notes
3706.219951	3713.988162	Grahhrr-grahhhrr! Grahhr. Gahrahhrr Ghrahhhrrrr.	Notes
3714.09696	3722.061009	Ghrarrrr. Ghrahhr! Ghrarrrrr. Gharrrr. Grahhrr.	Notes
3722.148047	3729.872739	Ghrahhrr. Ghrahr. Grahhr. Grahharrr. Grahhrr.	Notes
3729.959778	3740.883144	Grahhhhr. Grahhhr. Gahar. Ghrahhr. Grahhr. Grahhr.	Notes
3740.970183	3749.325906	Ghrahhr. Grahhhr. Grahhr. Gratharrr! Grahhr.	Notes
3749.456464	3758.399698	Ghrahrr. Ghraaaaaaahrr. Grhar. Ghhrarrr! Grahhrr.	Notes
3758.486737	3766.668382	Ghrahrr. Gharr! Ghrahhhhr. Grahhrr. Ghraherrr.	Notes
3767.168855	3779.789478	[Applause]	Notes
