			
time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer
3521.240789	3532.207675	"I'm going to read a couple of poems in Beast Language which are actually from the early '60s and not the '50s, and then we're going to take a break-ten minutes or so."	McClure speaking
3537.000000	3554.000000	"[McClure reads the first three and a half lines of Geoffrey Chaucer's Canterbury Tales. It was a regular habit of McClure’s to recite these lines before public performances of Ghost Tantras. The gesture “suggest[s] the origins of his poetry in early English verse,” as Michael Davidson notes (86). On the day he shot the USA Poetry episode at the San Francisco Zoo, McClure also recited Chaucer to the tree kangaroos, for whom “beast language was not right” (Kahn 340). Several months after the reading at Naropa, on November 25, 1976, McClure recited from the opening of Chaucer’s prologue on stage at San Francisco’s Winterland Ballroom during The Band’s famous farewell concert, immortalized in Martin Scorsese’s The Last Waltz (1978).]"	
3537.778157	3546.699631	"Whan that Aprill with his shoures soote The droghte of March hath perced to the roote, And bathed every veyne in switch licour Of which vertu"	McClure reading 
3546.699631	3554.228486	That's Chaucer actually. It makes a nice introduction.	McClure speaking
3559.000000	3629.000000	" [McClure reads Ghost Tantra 51, page _____. As in many of his printed poems, McClure centers the Ghost Tantras down the page’s middle, an aesthetic strategy Davidson regards as beastly in its own right: “McClure compares the physical shape of his poems to biological organisms….Instead of returning to the left margin, the line asserts itself boldly as a free image, connected to the other lines like ribs to the spinal column” (86). In light of McClure’s performance and the digital lyric archive more broadly, Davidson’s observation that this meaningful shapeliness makes the line not “a score for the voice” but “a separate object among other objects” takes on curious significance. By what means can we account *both* for the line’s printed objecthood *and* the sonorous objecthood captured and audible, in this instance, on digitized tape? Even more to the point, how can we account for the historically-specific performance of McClure’s recitation—his expressive ‘re-citation’ of a printed text on June 16, 1976, the dynamic relation between page and speech, his “reading voice.” I have taken advantage of the fact that McClure’s recitation precisely reflects the printed version to respect the poem’s printed lineation in my transcriptions below. Ideally, the critical act of reading and listening simultaneously will evoke the tension at the heart of the reading voice. "	READING VOICE
3559.146177	3562.584208	I LOVE TO THINK OF THE RED PURPLE ROSE	McClure reading 
3563.019402	3565.630565	IN THE DARKNESS COOLED BY THE LIGHT	McClure reading 
3566.675031	3570.939931	We are served by machines making satins of sounds.	McClure reading 
3571.636241	3575.944661	Each blot of sound is a bud or a stahr.	McClure reading 
3576.553932	3579.817886	Body eats bouquets of the ear's vista.	McClure reading 
3580.079003	3587.303221	Gahhhrrr booody eyes eers noze deem thou.	McClure reading 
3588.08657	3590.26254	NOH. NAH-OHH	McClure reading 
3590.26254	3595.833021	hrooor. VOOOR-NAH! GAHROOOOO ME.	McClure reading 
3596.007099	3599.358092	Nah droooooh seerch. NAH THEE!	McClure reading 
3599.619208	3605.581364	The machines are too dull when we are lion poems that move & breathe.	McClure reading 
3605.755442	3611.238885	WHAN WE GROOOOOOOOOOOOOOR hann dree	McClure reading 
3611.456482	3616.504731	myketoth sharoo sreee thah noh deeeeeemed ez.	McClure reading 
3616.504731	3618.637181	Whan. eeeethoooze hrohh.	McClure reading 
3621.770577	3629.473509	[Applause]	SITUATED VOICE
3629.473509	3635.653262	"I was always afraid to recite this other one. Although I knew it by heart, I was afraid to recite it because I thought I might not be able to stop."	McClure speaking
3637.611635	3646.010877	"It's very mantric. And I thought I'd be giving a reading and they'll carry me away at the end. I'll still be going Grahhr! Grahhr! So,"	McClure speaking
3647.098861	3660.938027	"recently I was in one of John Lilly's isolation tanks and I thought, what a perfect time to do this thing I've always been afraid to do. [Audience laughs] What difference would it make here? So I did, and I did know it by heart, but I think I'll read it here anyway."	McClure speaking
3662.069531	3667.81409	SILENCE THE EYES! BECALM THE SENSES!	McClure reading 
3668.118726	3673.428092	"Drive drooor from the fresh repugnance,"	McClure reading 
3673.863285	3676.953162	"thou whole, thou feeling creature."	McClure reading 
3677.257798	3680.608791	Live not for others but affect thyself	McClure reading 
3681.000465	3685.308885	from thy enhanced interior--believing what thou carry.	McClure reading 
3685.831117	3691.619196	"Thy trillionic multitude of grahh, vhooshes, and silences."	McClure reading 
3691.619196	3695.274825	Oh you are heavier and dimmer than you knew	McClure reading 
3695.274825	3697.842469	and more solid and full of pleasure.	McClure reading 
3697.929508	3706.067633	Grahhr! Grahhhr! Ghrahhhrrr! Ghrahhr! Grahhrrr.	McClure reading 
3706.219951	3713.988162	Grahhrr-grahhhrr! Grahhr. Gahrahhrr Ghrahhhrrrr.	McClure reading 
3714.09696	3722.061009	Ghrarrrr. Ghrahhr! Ghrarrrrr. Gharrrr. Grahhrr.	McClure reading 
3722.148047	3729.872739	Ghrahhrr. Ghrahr. Grahhr. Grahharrr. Grahhrr.	McClure reading 
3729.959778	3740.883144	Grahhhhr. Grahhhr. Gahar. Ghrahhr. Grahhr. Grahhr.	McClure reading 
3740.970183	3749.325906	Ghrahhr. Grahhhr. Grahhr. Gratharrr! Grahhr.	McClure reading 
3749.456464	3758.399698	Ghrahrr. Ghraaaaaaahrr. Grhar. Ghhrarrr! Grahhrr.	McClure reading 
3758.486737	3766.668382	Ghrahrr. Gharr! Ghrahhhhr. Grahhrr. Ghraherrr.	McClure reading 
3767.168855	3779.789478	[Applause]	SITUATED VOICE
